scenario,run,seed,method,clusters,non_compliant_total,clusters_with_non_compliant,max_non_compliant_concentration,mean_non_compliant_concentration,average_non_compliant_per_cluster,cluster_size_std,cluster_size_range,clustering_time_sec
S2_80_10_10,23,20022,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005756250175181776
S2_80_10_10,24,20023,Baseline,10,10,5,0.5,0.10444444444444445,1.0,1.1547005383792515,4,0.0005425420240499079
S2_80_10_10,24,20023,Security-Aware,10,10,10,0.125,0.10143939393939394,1.0,1.247219128924647,4,0.0005528749898076057
S2_80_10_10,25,20024,Baseline,10,10,8,0.2222222222222222,0.1006060606060606,1.0,0.816496580927726,2,0.00039558298885822296
S2_80_10_10,25,20024,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005499589897226542
S2_80_10_10,26,20025,Baseline,10,10,6,0.36363636363636365,0.0996969696969697,1.0,0.816496580927726,2,0.000563917012186721
S2_80_10_10,26,20025,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.008836583001539111
S2_80_10_10,27,20026,Baseline,10,10,7,0.2727272727272727,0.0996969696969697,1.0,0.6666666666666666,2,0.0003860419965349138
S2_80_10_10,27,20026,Security-Aware,10,10,10,0.1,0.1,1.0,0.0,0,0.000544374983292073
S2_80_10_10,28,20027,Baseline,10,10,8,0.2727272727272727,0.0994949494949495,1.0,0.6666666666666666,2,0.0003928749938495457
S2_80_10_10,28,20027,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0008022080000955611
S2_80_10_10,29,20028,Baseline,10,10,5,0.4,0.1,1.0,0.4714045207910317,2,0.0003872920060530305
S2_80_10_10,29,20028,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005536249955184758
S2_80_10_10,30,20029,Baseline,10,10,7,0.2727272727272727,0.09787878787878787,1.0,1.0540925533894598,3,0.00037629102007485926
S2_80_10_10,30,20029,Security-Aware,10,10,10,0.125,0.10108585858585858,1.0,1.0540925533894598,3,0.000799208995886147
S2_80_10_10,31,20030,Baseline,10,10,7,0.2222222222222222,0.10242424242424243,1.0,0.816496580927726,2,0.0003806249878834933
S2_80_10_10,31,20030,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005464999994728714
S2_80_10_10,32,20031,Baseline,10,10,7,0.3,0.10444444444444444,1.0,1.247219128924647,4,0.0004033750155940652
S2_80_10_10,32,20031,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0008047919836826622
S2_80_10_10,33,20032,Baseline,10,10,7,0.2222222222222222,0.10131313131313131,1.0,0.6666666666666666,2,0.0004009160038549453
S2_80_10_10,33,20032,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005501250270754099
S2_80_10_10,34,20033,Baseline,10,10,8,0.2,0.09909090909090909,1.0,0.4714045207910317,2,0.00037475000135600567
S2_80_10_10,34,20033,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0008113340009003878
S2_80_10_10,35,20034,Baseline,10,10,6,0.2,0.09818181818181819,1.0,0.4714045207910317,2,0.000379333010641858
S2_80_10_10,35,20034,Security-Aware,10,10,10,0.1111111111111111,0.10075757575757575,1.0,0.9428090415820634,3,0.0005550830101128668
S2_80_10_10,36,20035,Baseline,10,10,8,0.2,0.0992929292929293,1.0,0.6666666666666666,2,0.0003816249954979867
S2_80_10_10,36,20035,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0007979579968377948
S2_80_10_10,37,20036,Baseline,10,10,9,0.2,0.10040404040404041,1.0,0.6666666666666666,2,0.00037212501047179103
S2_80_10_10,37,20036,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005614999972749501
S2_80_10_10,38,20037,Baseline,10,10,6,0.3,0.0996969696969697,1.0,0.9428090415820634,2,0.0003749169991351664
S2_80_10_10,38,20037,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0007957500056363642
S2_80_10_10,39,20038,Baseline,10,10,5,0.3,0.0994949494949495,1.0,1.0540925533894598,3,0.00038495802436955273
S2_80_10_10,39,20038,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005819590005557984
S2_80_10_10,40,20039,Baseline,10,10,6,0.4444444444444444,0.10373737373737374,1.0,0.816496580927726,2,0.00037349999183788896
S2_80_10_10,40,20039,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0008057499944698066
S2_80_10_10,41,20040,Baseline,10,10,8,0.18181818181818182,0.09656565656565656,1.0,0.816496580927726,2,0.0003763339773286134
S2_80_10_10,41,20040,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005517910176422447
S2_80_10_10,42,20041,Baseline,10,10,5,0.2727272727272727,0.09363636363636364,1.0,0.816496580927726,2,0.00038675000541843474
S2_80_10_10,42,20041,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0007940420182421803
S2_80_10_10,43,20042,Baseline,10,10,7,0.2,0.09727272727272727,1.0,1.0540925533894598,3,0.0003692090103868395
