network_size,run,seed,clusters,baseline_max_concentration,security_max_concentration,absolute_difference,relative_reduction_percent,baseline_cluster_size_std,security_cluster_size_std,baseline_time_sec,security_time_sec
100,15,100014,10,0.2222222222222222,0.125,0.09722222222222221,43.74999999999999,1.0540925533894598,1.3333333333333333,7.691700011491776e-05,0.00029041600646451116
100,16,100015,10,0.2727272727272727,0.1111111111111111,0.1616161616161616,59.25925925925925,0.816496580927726,0.6666666666666666,7.54999928176403e-05,0.00027020901325158775
100,17,100016,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,0.9428090415820634,0.6666666666666666,7.541701779700816e-05,0.00027037502150051296
100,18,100017,10,0.2222222222222222,0.1111111111111111,0.1111111111111111,50.0,0.6666666666666666,0.6666666666666666,7.54580250941217e-05,0.00026958301896229386
100,19,100018,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,0.4714045207910317,0.6666666666666666,7.645797450095415e-05,0.00027020799461752176
100,20,100019,10,0.2,0.1111111111111111,0.0888888888888889,44.44444444444445,0.816496580927726,0.816496580927726,8.4708008216694e-05,0.00029337499290704727
100,21,100020,10,0.2222222222222222,0.1111111111111111,0.1111111111111111,50.0,0.4714045207910317,0.6666666666666666,7.854198338463902e-05,0.00028133398154750466
100,22,100021,10,0.2,0.1111111111111111,0.0888888888888889,44.44444444444445,0.9428090415820634,0.6666666666666666,8.02910071797669e-05,0.00027108300128020346
100,23,100022,10,0.2,0.1111111111111111,0.0888888888888889,44.44444444444445,0.816496580927726,0.6666666666666666,8.779199561104178e-05,0.0002783329982776195
100,24,100023,10,0.2,0.1111111111111111,0.0888888888888889,44.44444444444445,0.816496580927726,0.9428090415820634,7.562499376945198e-05,0.0002733750152401626
100,25,100024,10,0.36363636363636365,0.1111111111111111,0.25252525252525254,69.44444444444444,1.0540925533894598,0.4714045207910317,7.624999852851033e-05,0.00027483300073072314
100,26,100025,10,0.4,0.125,0.275,68.75,0.6666666666666666,0.816496580927726,7.650000043213367e-05,0.0002764590026345104
100,27,100026,10,0.2727272727272727,0.1111111111111111,0.1616161616161616,59.25925925925925,0.6666666666666666,0.816496580927726,8.079200051724911e-05,0.00027987497742287815
100,28,100027,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,0.6666666666666666,0.6666666666666666,7.695800741203129e-05,0.00028041598852723837
100,29,100028,10,0.2727272727272727,0.1111111111111111,0.1616161616161616,59.25925925925925,0.816496580927726,0.816496580927726,7.675000233575702e-05,0.00027287498232908547
100,30,100029,10,0.2,0.1111111111111111,0.0888888888888889,44.44444444444445,0.6666666666666666,0.6666666666666666,7.666699821129441e-05,0.0002731669810600579
250,1,110000,16,0.3125,0.125,0.1875,60.0,0.8850612031567836,1.5438048235879214,0.00026699999580159783,0.001009874977171421
250,2,110001,16,0.23529411764705882,0.125,0.11029411764705882,46.875,0.8062257748298549,1.5438048235879214,0.000267458992311731,0.0009742499969433993
250,3,110002,16,0.2777777777777778,0.125,0.1527777777777778,55.00000000000001,1.3102162671355697,1.3601470508735443,0.0002668339875526726,0.001015667017782107
250,4,110003,16,0.3125,0.125,0.1875,60.0,0.9574271077563381,1.5438048235879214,0.0002668329980224371,0.0009858749981503934
250,5,110004,16,0.25,0.125,0.125,50.0,0.8850612031567836,1.0878112581387147,0.000261709006736055,0.0009934169938787818
250,6,110005,16,0.2,0.125,0.07500000000000001,37.50000000000001,0.8850612031567836,1.5,0.00027062499430030584,0.0009882090089377016
250,7,110006,16,0.25,0.125,0.125,50.0,1.0878112581387147,1.5,0.00025949999690055847,0.0009952920081559569
250,8,110007,16,0.29411764705882354,0.125,0.16911764705882354,57.50000000000001,0.7187952884282608,1.408308678285174,0.00026412500301375985,0.0010009169927798212
